渠道,行为,账号,笔数,累计金额,天数,二级类目,标题配置,标题关键词,时间_商品行为,商品类型,商品ID
所有销售渠道,浏览,,,,1,1,1,1,1,1,1
所有销售渠道,收藏,,,,,1,1,1,1,1,1
所有销售渠道,加购,,,,,1,1,1,1,1,1
所有销售渠道,预售,,,,,1,1,1,1,1,1
所有销售渠道,购买,,1,1,,1,1,1,1,1,1
所有销售渠道,退款,,,,,1,1,1,1,1,1
天猫国际,浏览,1,,,1,1,1,1,1,1,1
天猫国际,收藏,1,,,,1,1,1,1,1,1
天猫国际,加购,1,,,,1,1,1,1,1,1
天猫国际,预售,1,,,,1,1,1,1,1,1
天猫国际,购买,1,1,1,,1,1,1,1,1,1
天猫国际,退款,1,,,,1,1,1,1,1,1
天猫国际直营,浏览,1,,,1,1,1,1,1,1,1
天猫国际直营,收藏,1,,,,1,1,1,1,1,1
天猫国际直营,加购,1,,,,1,1,1,1,1,1
天猫国际直营,预售,1,,,,1,1,1,1,1,1
天猫国际直营,购买,1,1,1,,1,1,1,1,1,1
天猫国际直营,退款,1,,,,1,1,1,1,1,1
天猫,浏览,1,,,1,1,1,1,1,1,1
天猫,收藏,1,,,,1,1,1,1,1,1
天猫,加购,1,,,,1,1,1,1,1,1
天猫,预售,1,,,,1,1,1,1,1,1
天猫,购买,1,1,1,,1,1,1,1,1,1
天猫,退款,1,,,,1,1,1,1,1,1
全球购,浏览,1,,,1,1,1,1,1,1,1
全球购,收藏,1,,,,1,1,1,1,1,1
全球购,加购,1,,,,1,1,1,1,1,1
全球购,预售,1,,,,1,1,1,1,1,1
全球购,购买,1,1,1,,1,1,1,1,1,1
全球购,退款,1,,,,1,1,1,1,1,1
淘宝集市,浏览,1,,,1,1,1,1,1,1,1
淘宝集市,收藏,1,,,,1,1,1,1,1,1
淘宝集市,加购,1,,,,1,1,1,1,1,1
淘宝集市,预售,1,,,,1,1,1,1,1,1
淘宝集市,购买,1,1,1,,1,1,1,1,1,1
淘宝集市,退款,1,,,,1,1,1,1,1,1
