适用的包,属性值名称,ID
预测购买力,L1,1#|#1
预测购买力,L2,2#|#2
预测购买力,L3,3#|#3
预测购买力,L4,4#|#4
预测购买力,L5,5#|#5
预测购买力,未知,-9999#|#-9999
预测年龄,[18-24],917007982#|#917007982
预测年龄,[25-29],368920849#|#368920849
预测年龄,[30-34],208620740#|#208620740
预测年龄,[35-39],973311983#|#973311983
预测年龄,[40-44],687379147#|#687379147
预测年龄,[45-49],716878180#|#716878180
预测年龄,[50-54],335113899#|#335113899
预测年龄,[55-59],737742871#|#737742871
预测年龄,>=60,26534789#|#26534789
预测年龄,未知,-9999#|#-9999
预测城市等级,1,1#|#1
预测城市等级,2,2#|#2
预测城市等级,3,3#|#3
预测城市等级,4,4#|#4
预测城市等级,5,5#|#5
预测城市等级,6,6#|#6
预测城市等级,未知,-9999#|#-9999
大快消策略人群,都市蓝领,1#|#1
大快消策略人群,Z时代人群,2#|#2
大快消策略人群,精致妈妈,4#|#4
大快消策略人群,小镇中年,5#|#5
大快消策略人群,新锐白领,6#|#6
大快消策略人群,小镇老年,7#|#7
大快消策略人群,小镇青年,8#|#8
大快消策略人群,资深白领,9#|#9
大快消策略人群,都市银发族,10#|#10
大快消策略人群,未知,-9999#|#-9999
快消策略人群3.0,实惠大众,644305310#|#644305310
快消策略人群3.0,资深中产,875765034#|#875765034
快消策略人群3.0,简朴银发,334643654#|#334643654
快消策略人群3.0,小镇中坚,287746346#|#287746346
快消策略人群3.0,都市型男,771197469#|#771197469
快消策略人群3.0,平价青年,364965845#|#364965845
快消策略人群3.0,精致女性,905459478#|#905459478
快消策略人群3.0,小镇新贵,597135981#|#597135981
快消策略人群3.0,悦己青年,624942107#|#624942107
快消策略人群3.0,品质银发,509989546#|#509989546
快消策略人群3.0,未知,-9999#|#-9999
预测性别,男,364908557#|#364908557
预测性别,女,878356174#|#878356174
预测性别,未知,-9999#|#-9999
月均消费金额,0-499,1#|#1
月均消费金额,500-999,2#|#2
月均消费金额,1000-1499,3#|#3
月均消费金额,1500-1999,"4#|#4,"
月均消费金额,2000-2999,"5#|#5,"
月均消费金额,3000-5999,"6#|#6,"
月均消费金额,6000-10000,"7#|#7,"
月均消费金额,10000以上,8#|#8
月均消费金额,未知,-9999#|#-9999
